Rk,Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary,Name-additional
746,DJ Stewart*,29,NYM,NL,47,148,130,18,35,8,0,11,26,1,0,11,43,.269,.342,.585,.927,151,76,3,4,1,1,0,9/HD7,stewadj01
747,Trevor Story,30,BOS,AL,32,125,120,8,22,9,0,2,10,8,2,5,45,.183,.216,.308,.524,39,37,2,0,0,0,0,6/DH4,storytr01
748,Bryson Stott*,25,PHI,NL,140,594,543,75,155,30,2,15,59,29,2,36,90,.285,.333,.431,.764,108,234,10,7,0,8,1,*4/HD,stottbr01
749,Kyle Stowers*,25,BAL,AL,14,33,30,1,2,0,0,0,0,0,0,3,12,.067,.152,.067,.218,-35,2,1,0,0,0,0,/97HD,stoweky01
750,Myles Straw,28,CLE,AL,138,489,438,51,100,16,3,1,26,17,5,39,92,.228,.292,.285,.577,63,125,10,2,6,4,0,*8/H,strawmy01
751,Garrett Stubbs*,30,PHI,NL,37,109,98,11,20,4,1,0,8,1,0,8,24,.204,.278,.265,.543,50,26,0,2,1,0,0,2/H7,stubbga01
752,Eugenio Suárez,31,SEA,AL,148,635,547,62,126,24,0,21,88,2,1,63,195,.230,.321,.389,.711,99,213,10,15,0,10,0,*5/D,suareeu01
753,Brett Sullivan*,29,SDP,NL,24,57,54,5,10,3,0,1,5,0,0,2,13,.185,.211,.296,.507,41,16,0,0,0,1,0,2/H5,sullibr01
754,Brent Suter*,33,COL,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,suterbr01
755,Jack Suwinski*,24,PIT,NL,131,483,402,56,86,20,1,25,66,12,2,70,158,.214,.335,.455,.791,112,183,1,6,0,5,2,*897/HD,suwinja01
756,Seiya Suzuki,28,CHC,NL,126,530,468,66,130,28,5,18,65,6,7,53,122,.278,.349,.474,.823,120,222,8,2,0,7,3,*9/DH,suzukse01
757,Dansby Swanson,29,CHC,NL,135,585,519,72,129,23,3,20,74,7,1,61,143,.249,.330,.420,.750,101,218,7,3,0,2,0,*6,swansda01
758,Domingo Tapia,31,SDP,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,tapiado01
759,Raimel Tapia*,29,TOT,MLB,59,158,139,24,32,4,1,3,13,8,2,15,39,.230,.308,.338,.646,75,47,2,1,1,1,0,9H7/8D,tapiara01
760,Raimel Tapia*,29,BOS,AL,39,97,87,14,23,4,1,1,10,6,1,9,19,.264,.333,.368,.701,89,32,1,0,0,0,0,H7/89D,tapiara01
761,Raimel Tapia*,29,MIL,NL,20,61,52,10,9,0,0,2,3,2,1,6,20,.173,.267,.288,.555,52,15,1,1,1,1,0,9/H87,tapiara01
762,Fernando Tatis Jr.,24,SDP,NL,128,581,525,85,138,31,1,25,77,26,4,49,125,.263,.328,.469,.796,121,246,14,3,1,3,0,*9/8D4H,tatisfe02
763,Mike Tauchman*,32,CHC,NL,97,359,303,58,76,15,0,7,45,6,1,49,73,.251,.358,.370,.727,98,112,3,3,1,3,0,8HD9/7,tauchmi01
764,Leody Taveras#,24,TEX,AL,129,502,467,59,126,30,3,12,60,14,4,28,108,.270,.311,.424,.735,98,198,2,1,3,3,0,*8/HD,taverle01
765,Chris Taylor,32,LAD,NL,107,347,305,47,73,14,1,15,52,15,2,38,111,.239,.329,.439,.768,105,134,2,3,0,1,2,765H/D84,tayloch03
766,Michael A. Taylor,32,MIN,AL,120,354,327,45,75,14,0,20,47,13,1,21,118,.229,.281,.456,.737,98,149,7,3,2,1,0,*8H,taylomi02
767,Samad Taylor,24,KCR,AL,31,69,60,11,12,2,1,0,4,8,0,7,22,.200,.279,.267,.546,52,16,1,0,1,1,0,74H/58,taylosa04
768,Tyrone Taylor,29,MIL,NL,71,206,196,30,46,13,1,7,27,8,0,6,42,.235,.267,.418,.685,84,82,9,3,0,1,0,97H/8D,tayloty01
